"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"rivulets of","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"despite herself","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"reckless abandon","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"torn between","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"fiery red hair","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"long lashes","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"world narrows","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"chestnut eyes","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"cheeks flaming","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"cheeks hollowing","phrase","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"understandingly","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"paperbound","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"hesitantly","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"piqued","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"curveballs","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"marveled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"inclusivity","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"birdwatcher","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.031). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"newfound","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.032). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"marveling","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.033). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"hiroshi","word","both","antislop (open-model slop)","medium","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.107). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"greentech","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.034). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"thoughtfully","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; gpt-4.5-preview; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.035). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"intently","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.036). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"birdwatching","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.037). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"amidst","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.037). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"cherishing","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.037). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"attentively","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.037). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"interjected","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.038). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"serendipitous","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"marianne","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"maya","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.092). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"excitedly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"steepled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"engrossed","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.039). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"fostering","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.04). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"brainstormed","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.041). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"furrowed","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.041). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"contemplatively","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.042). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"jotted","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.042). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"mia","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.042). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"yesteryears","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.043). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"conspiratorially","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.043). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"poring","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.043). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"stumbled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.044). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"strategized","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.044). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"hesitated","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.045). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"intrigued","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.046). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"sarah","word","both","antislop (open-model slop)","medium","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.101). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"lykos","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.046). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"adaptability","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.047). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"yoing","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.047). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"geocaches","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.047). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"furrowing","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.048). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"quandaries","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.048). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"chimed","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.048). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"headfirst","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.048). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"gruffly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.049). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"skeptically","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.049). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"fruitville","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.05). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"gastronomical","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.05). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"sighed","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"warmly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"approvingly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"questioningly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.051). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"timmy","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"undeterred","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.052). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"starlit","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.053). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"unearthing","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.053). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"grappled","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.054). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"yumi","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.096). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"seabrook","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.054). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"geocachers","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.054). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"animatedly","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.055). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"bakersville","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.055). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"minji","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.055). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"fateful","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.056). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"sparkled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.056). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"resonated","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.057). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"harmoniously","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.057). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"fidgeted","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.057). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"mwanga","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.058). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"gleamed","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.058). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"embracing","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.058). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"pleasantries","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.058). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"iostream","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.059). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"navigated","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.059). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"interconnectedness","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.059). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"tanginess","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.059). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"mouthwatering","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.06). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"amelia","word","both","antislop (open-model slop)","medium","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.105). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"mischievously","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; gpt-4.5-preview; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.06). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"tirelessly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.06). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"sympathetically","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"pondered","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"lingered","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"println","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"empathizing","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.061). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"niche","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"regaled","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"greenthumb","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"savored","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.062). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"amira","word","both","antislop (open-model slop)","medium","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.11). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"firsthand","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.064). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"empathetically","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.064). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"unshed","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.064). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"jenkin","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.064). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"enigmatically","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.065). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"marla","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.065). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"bayville","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.065). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"adversities","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.066). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"eagerly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.066). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"quizzically","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.067). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"transcending","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.067). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"resilience","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.067). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"lily","word","both","antislop (open-model slop)","medium","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.112). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"commiserated","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.068). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"savoring","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.068). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"amara","word","both","antislop (open-model slop)","medium","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.11). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"somberly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.069). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"cinephile","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.07). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"solace","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; gpt-3.5-turbo-0613; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.07). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"aquascaping","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.07). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"rippled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.071). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"reveled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.071). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
