AI-CLICHE DETECTION DB  -  22762 entries
format: [severity] domain/type | category | TERM :: why
[low   ] both/phrase | academic census | Claude (Anthropic) :: Overused AI term catalogued from the 'academic' census sweep (source count 1).
[low   ] both/phrase | claude census | claude --version :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | social media census | Claude 4.7 :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | claude census | Claude API :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | claude census | Claude apps :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | claude census | Claude-Specific Techniques :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | claude census | Claude.ai Projects :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | claude census | Claude.md FAQs :: Overused AI term catalogued from the 'claude' census sweep (source count 8).
[low   ] both/phrase | legal medical census | clause checking :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | clause comparison :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Clause drafting :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | clause options :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Clause review :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | clause suggestions :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Clause summaries :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | romance fiction census | Clean export :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 2).
[low   ] both/phrase | social media census | Clean interface :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Clean management :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
[low   ] both/phrase | legal medical census | cleaner research :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Clear (self-hosted) :: Overused AI term catalogued from the 'news journalism' census sweep (source count 2).
[low   ] both/phrase | claude census | Clear deadline :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | slop-forensics collocation | cleared throat :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | email copywriting census | Click-Through Rate :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | corporate census | ClickUp Chat :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | corporate census | ClickUp Docs :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | corporate census | ClickUp Whiteboards :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | real estate census | Client communication :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[low   ] both/phrase | legal medical census | client fit :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Client instructions :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Client journey :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Client letters :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | social media census | Client management :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | legal medical census | client service :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Client-facing explainer :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | social media census | Client-level reporting :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | fantasy fiction census | Climate fiction :: Overused AI term catalogued from the 'fantasy fiction' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Clinical-data-driven automation :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Clinical-record-driven automation :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | close enough :: Top repetitive n-gram in claude-3.7-sonnet output (slop-forensics).
[low   ] both/phrase | model-distinctive collocation | close enough smell :: Top repetitive n-gram in chatgpt-4o-latest output (slop-forensics).
[low   ] both/phrase | scifi horror census | Close-Enough Timeline :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | romance fiction census | Closed door :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[low   ] both/phrase | slop-forensics collocation | closed eyes :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | romance fiction census | Closed-door romance :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 2).
[low   ] both/phrase | social media census | Cloud, On-Premises :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | clung back throat :: Top repetitive n-gram in Darkest-muse-v1 output (slop-forensics).
[low   ] both/phrase | legal medical census | CoCounsel Core :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | CoCounsel Drafting :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | CoCounsel Essentials :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | CoCounsel Legal :: Overused AI term catalogued from the 'legal medical' census sweep (source count 3).
[low   ] both/phrase | claude census | Coding support :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Cold outreach :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | academic census | Collaborate internationally :: Overused AI term catalogued from the 'academic' census sweep (source count 1).
[low   ] both/phrase | corporate census | Collaboration, teamwork :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | corporate filler | collaborative environment :: Empty corporate phrasing AI reaches for to sound professional.
[low   ] both/phrase | news journalism census | Collaborative filtering :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | romance fiction census | Colleen McCullough :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[low   ] both/phrase | fitness wellness census | Colorectal cancer :: Overused AI term catalogued from the 'fitness wellness' census sweep (source count 1).
[low   ] both/phrase | meta_concept | Combine AI and Human Creativity :: Phrase frequently used in AI-generated content discussing AI limitations and augmentation
[low   ] both/phrase | email copywriting census | Coming soon :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Commercial agreements :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | fantasy fiction census | Common questions :: Overused AI term catalogued from the 'fantasy fiction' census sweep (source count 1).
[low   ] both/phrase | social media census | Community engagement :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Community review :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | social media census | Community shoutouts :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Community spotlights :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Community-driven, slower :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | social media census | Company milestones :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | fitness wellness census | Company revenues :: Overused AI term catalogued from the 'fitness wellness' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Comparative analysis :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | marketing census | Comparison infographics :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | social media census | Comparison table# :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | compelling case study :: Top repetitive n-gram in glm-4.6 output (slop-forensics).
[low   ] both/phrase | marketing census | Competitive advantage :: Overused AI term catalogued from the 'marketing' census sweep (source count 2).
[low   ] both/phrase | email copywriting census | Competitive pricing :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
[low   ] both/phrase | marketing census | Competitor A :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | social media census | Competitor analysis :: Overused AI term catalogued from the 'social media' census sweep (source count 2).
[low   ] both/phrase | marketing census | Competitor B :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | social media census | Competitor tracking :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Competitor X :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Competitor Y :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Complaint drafts :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | real estate census | Complete solution :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[low   ] both/phrase | claude census | completed projects :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | claude census | completed work :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Complex interface :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
[low   ] both/phrase | model-distinctive collocation | complex multifaceted :: Top repetitive n-gram in llama-4-scout output (slop-forensics).
[low   ] both/phrase | legal medical census | complex negotiations :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Complex pricing :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Complex setup :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
[low   ] both/phrase | legal medical census | compliance-heavy contracts :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | social media census | Compounding returns :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Computer science :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Computer-assisted reporting :: Overused AI term catalogued from the 'news journalism' census sweep (source count 2).
[low   ] both/phrase | email copywriting census | Conditional automation :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | real estate census | Condo examples :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[low   ] both/phrase | claude census | Confidence calibration :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | social media census | Connected profiles :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | claude census | Consensus read :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | hedging | consider your risk tolerance :: Generic AI financial-advice disclaimer that sounds responsible but is vague boilerplate.
[low   ] both/phrase | slop-forensics collocation | constant reminder :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | structure | constraint restating :: Reasoning models visibly re-assert requirements throughout. Recognizable, though low severity.
[low   ] both/phrase | recipe census | Constraint-Led Creativity :: Overused AI term catalogued from the 'recipe' census sweep (source count 1).
[low   ] both/phrase | social media census | Consumer Acceptance# :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | claude census | Consumer AI :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | travel census | Contact form :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[low   ] both/phrase | marketing census | Contact information :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Contact sales :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Contact segment :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Contact-based pricing :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
[low   ] both/phrase | model-distinctive collocation | content warning :: Top repetitive n-gram in claude-3.5-haiku-20241022 output (slop-forensics).
[low   ] both/phrase | model-distinctive collocation | content warning narrative :: Top repetitive n-gram in claude-3.5-haiku-20241022 output (slop-forensics).
[low   ] both/phrase | model-distinctive collocation | content warning passage :: Top repetitive n-gram in claude-3.5-haiku-20241022 output (slop-forensics).
[low   ] both/phrase | social media census | ContentStudio Inc :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | mystery thriller census | Contests (4) :: Overused AI term catalogued from the 'mystery thriller' census sweep (source count 2).
[low   ] both/phrase | claude census | Context switching :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Contextual misinterpretation :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | instruction | Continue Experimenting :: Generic AI-generated closing advice commonly used as placeholder guidance
[low   ] both/phrase | social media census | Continue reading :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | slop-forensics collocation | continued fall washing :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | model-distinctive collocation | continues evolve :: Top repetitive n-gram in gpt-4o-mini output (slop-forensics).
[low   ] both/phrase | corporate filler | continuous improvement :: Management-speak cliche AI defaults to in professional prose.
[low   ] both/phrase | email copywriting census | Contract commitments :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
[low   ] both/phrase | legal medical census | contract drafting :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | contract drafts :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | contract review :: Overused AI term catalogued from the 'legal medical' census sweep (source count 3).
[low   ] both/phrase | legal medical census | Contract summary :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | vague verb | Contribute to :: Vague AI hedging verb used to imply impact without specifics.
[low   ] both/phrase | corporate census | conversation redirected :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | social media census | Conversation starters :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | marketing census | Conversational AI :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | travel census | conversion optimization :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | ConvertKit (Kit) :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 7).
[low   ] both/phrase | romance fiction census | Copies sold* :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[low   ] both/phrase | claude census | Copula avoidance :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | phrasing | Copula avoidance (serves as / acts as / functions as instead of "is") :: AI substitutes formal periphrasis for the plain copula ('serves as a wrapper' vs 'is a wrapper'), a recognizable AI register even inside code comments.
[low   ] both/phrase | news journalism census | Copy editors :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | poetry census | Copy shortlink :: Overused AI term catalogued from the 'poetry' census sweep (source count 4).
[low   ] both/phrase | recipe census | Copy-paste only :: Overused AI term catalogued from the 'recipe' census sweep (source count 1).
[low   ] both/phrase | claude census | Copy-Paste Prompts :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | social media census | CopyAI Inc :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | travel census | Copyright 2025 :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[low   ] both/phrase | real estate census | Core components :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[low   ] both/phrase | claude census | Core experience :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | imagery | cornfields / fields of gold :: Default rural-scenery filler. AI paints generic agricultural backdrop (cornfields, wheat, 'fields of gold') to look pastoral; the landscape is wallpaper, never tied to a person or event.
[low   ] both/phrase | model-distinctive collocation | corporate social responsibility :: Top repetitive n-gram in gpt-4.1-nano output (slop-forensics).
[low   ] both/phrase | marketing census | Corpus type :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Cosmetic education :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | marketing census | Cost efficiency :: Overused AI term catalogued from the 'marketing' census sweep (source count 2).
[low   ] both/phrase | business jargon | cost optimization :: Corporate buzzphrase AI inserts to sound results-oriented.
[low   ] both/phrase | fitness wellness census | Cost-Effective Alternative :: Overused AI term catalogued from the 'fitness wellness' census sweep (source count 1).
[low   ] both/phrase | slop-forensics collocation | could feel power :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | could feel weight :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | could find way :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | could help feel :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | could help notice :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | could help wonder :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | could shake feeling :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | model-distinctive collocation | count references :: Top repetitive n-gram in mistral-nemo output (slop-forensics).
[low   ] both/phrase | legal medical census | Court documents :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | court facing :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Court filings :: Overused AI term catalogued from the 'legal medical' census sweep (source count 2).
[low   ] both/phrase | legal medical census | court opinions :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Court rules :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | Covenant (2017) :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | fantasy fiction census | Cozy fantasy :: Overused AI term catalogued from the 'fantasy fiction' census sweep (source count 1).
[low   ] both/phrase | social media census | Create design :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | corporate census | Creates noise :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | marketing census | Creating content :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | social media census | Creation efficiency :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Creative challenges :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | corporate census | Creative thinking :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Creator community :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Creator features :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 2).
[low   ] both/phrase | email copywriting census | Creator-focused features :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | Creature effects :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | claude census | Credibility establishment :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | mystery thriller census | CrimeReads Twitter :: Overused AI term catalogued from the 'mystery thriller' census sweep (source count 3).
[low   ] both/phrase | legal medical census | Criminal law :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | social media census | Crisis communication :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | Critical analysis :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | Critical reassessment :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | Critical response :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | CRM included :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 4).
[low   ] both/phrase | marketing census | CRM Integration :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | CRM-connected marketing :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | CRM-powered automation :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-platform analytics :: Overused AI term catalogued from the 'social media' census sweep (source count 2).
[low   ] both/phrase | social media census | Cross-platform auto-formatting :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-platform comparison :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | claude census | Cross-Platform Consistency :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-Platform Formatting :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-platform metrics :: Overused AI term catalogued from the 'social media' census sweep (source count 2).
[low   ] both/phrase | social media census | Cross-Platform Optimization# :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-Platform Psychology :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-platform publishing :: Overused AI term catalogued from the 'social media' census sweep (source count 9).
[low   ] both/phrase | social media census | Cross-platform sync :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Cross-platform threads :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | marketing-cliche | crowd-pleaser :: Generic positive AI descriptor asserting broad appeal with no evidence.
[low   ] both/phrase | news journalism census | Crowdsourced sites :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | crucial role :: Top repetitive n-gram in gpt-4o-mini output (slop-forensics).
[low   ] both/phrase | legal medical census | CS Professional :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | claude census | CTA section :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | social media census | CTA suggestions :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | claude census | CTA tweet :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | Cultural influence :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | claude census | Current landscape :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Custody declarations :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | custom formatting :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | social media census | Custom GPTs :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Custom pricing :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | social media census | Custom reporting :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Custom support :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Custom workflows :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | marketing census | Customer ROI :: Overused AI term catalogued from the 'marketing' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | customer satisfaction :: Top repetitive n-gram in llama-4-scout output (slop-forensics).
[low   ] both/phrase | legal medical census | Customer support :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | social media census | Customer testimonials :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Customizable personas :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | claude census | Cutoff disclaimers :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | fantasy fiction census | Cyberpunk (derivatives) :: Overused AI term catalogued from the 'fantasy fiction' census sweep (source count 1).
[low   ] both/phrase | news journalism census | D K :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | claude census | Daily productivity :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | social media census | Daily sprint :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | damp earth something :: Top repetitive n-gram in Darkest-muse-v1 output (slop-forensics).
[low   ] both/phrase | scifi horror census | Dan O'Bannon :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | dark eyes :: Top repetitive n-gram in gpt-4-0314 output (slop-forensics).
[low   ] both/phrase | slop-forensics collocation | dark lord :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | romance fiction census | Dark romance :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 5).
[low   ] both/phrase | email copywriting census | Dashboard only :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | corporate census | Dashboard-Obsessed Leaders :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | social media census | Data control :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | data driven :: Top repetitive n-gram in gpt-oss-20b output (slop-forensics).
[low   ] both/phrase | model-distinctive collocation | data driven decision :: Top repetitive n-gram in gpt-oss-20b output (slop-forensics).
[low   ] both/phrase | news journalism census | Data journalism :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data licensing :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data privacy :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data quality :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data synthesis :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | fitness wellness census | Data triangulation :: Overused AI term catalogued from the 'fitness wellness' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Data-backed personalization :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data-driven forecasting :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data-driven journalism :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Data-driven optimization :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | social media census | Data-driven publishing :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data-driven ranking :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data-driven reporting :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Data-heavy reports :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Dated interface :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Dated templates :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 3).
